,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
6,307 ,COMMUNITY HEALTH CENTRE KESAVAPURAM,                                      Public                                    ,"                  COMMUNITY HEALTH CENTRE KESAVAPURAM,         THIRUVANANTHAPURAM,         KERALA                           ",chcksvpm@gmail.com,9747211428,"                                              M1,M7                                                                                             ","                               S14,M3                                                 "
7,308 ,CHC VELLARADA,                                      Public                                    ,"                  COMMUNITY HEALTH CENTRE ,VELLARADA,         THIRUVANANTHAPURAM,         KERALA                           ",rsbychcvellarada@gmail.com,9747211429,"                                              M1,M7                                                                                             ",                               -NA-                                                 
9,310 ,AL SALAMA EYE HOSPITAL LTD,                            Private (For Profit)                                              ,"                  Hospital Road,Perinthalmanna,Malappuram,         MALAPPURAM,         KERALA                           ",insurance@alsalama.org,9496061337,                                                                            S3                                                              ,                                                             -NA-    
0,311 ,Kannur Co Operative Hospital Society Ltd,                  Private (Not for Profit)                                                        ,"                  Talap, Kannur,         KANNUR,         KERALA                           ",akghospital2010@gmail.com,9495306216,"                                                                            M1,M2,S8,S7,S12,M3,M7,S16,S6,S10,S11,M5,S15,S9,S14,S13,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
1,312 ,STARCARE HOSPITAL,                            Private (For Profit)                                              ,"                  STARCARE HOSPITAL KOZHIKODE PVT LTD, THONDAYAD BYPASS, KOZHIKODE,         KOZHIKODE,         KERALA                           ",insurance@starcarehospitals.com,8157067280,"                                                                            M1,M2,M7,S5,S2,S1                                                              ","                                                             S12,M1,S7    "
2,313 ,Dr Anups Insight Eye Hospital ,                            Private (For Profit)                                              ,"                  DR ANUPS INSIGHT EYE HOSPITAL, TEMPLE ROAD, VARKALA,         THIRUVANANTHAPURAM,         KERALA                           ",dranupdasophth@gmail.com,9061329555,                                                                            S3                                                              ,"                                                             S12,M1,S7    "
3,314 ,AL HIBA EYE HOSPITAL,                            Private (For Profit)                                              ,"                  KALLINGAL JUNCTION NEDUMANGADU ,TVPM,         THIRUVANANTHAPURAM,         KERALA                           ",alhibandd7771@gmail.com,9207787771,                                                                            S3                                                              ,                                                             -NA-    
4,315 ,payyanur eye foundation,                            Private (For Profit)                                              ,"                  payyanur eye foundation, mukunda hospital building,main road ,payyanur ,         KANNUR,         KERALA                           ",payyanureyefounadation@gmail.com,9447685727,                                                                            S3                                                              ,                                                             -NA-    
5,316 ,DR JACOBS EYE CARE HOSPITAL,                            Private (For Profit)                                              ,"                  Stadium Link Road,Palarivattom ,         ERNAKULAM,         KERALA                           ",pmjay.jacobseyecare@gmail.com,9061247601,                                                                            S3                                                              ,                                                             -NA-    
6,317 ,MUVATTUPUZHA COOPERATIVE SUPER SPECIALITY HOSPITAL AND RESEARCH CENTRE ,                  Private (Not for Profit)                                                        ,"                  MARKET PO, MUVATTUPUZHA,         ERNAKULAM,         KERALA                           ",mcsshospital@gmail.com,9447039090,"                                                                            M3,M2,M1,M7,S5,S4,S3,S1                                                              ",                                                             -NA-    
7,318 ,MIST HILLS HOSPITAL,                            Private (For Profit)                                              ,"                  ENGAPPUZHA, CALICUT DIST,         KOZHIKODE,         KERALA                           ",misthillshospital@gmail.com,8547007271,"                                                                            M2,M1,M7,S5,S4,S2                                                              ",                                                             -NA-    
8,319 ,DR.SREEKANTH EYE CARE AND RESEARCH CENTRE,                            Private (For Profit)                                              ,"                  29/909M, MAVOOR ROAD, KOTTOOLI, CALICUT,         KOZHIKODE,         KERALA                           ",skeyecareclt@gmail.com,9633345268,                                                                            S3                                                              ,                                                             -NA-    
9,320 ,Dr.Chandrakanth Malabar Nethralaya and Research Centre,                  Private (Not for Profit)                                                        ,"                  vandipetta po nadakkavu kazhokode,         KOZHIKODE,         KERALA                           ",vandhanameh@gmail.com,9496007111,                                                                            S3                                                              ,                                                             -NA-    
0,321 ,simons eye hospital,                            Private (For Profit)                                              ,"                  SIMONS EYE HOSPITAL , NEAR OLD PETROL PUMP ,CALICUT ROAD PERAMBRA, 673525,         KOZHIKODE,         KERALA                           ",raagin.kk@gmail.com,6235055501,                                                                            S3                                                              ,                                                             NA    
1,322 ,The Badagara sahakarana Asupathri Ltd,                  Private (Not for Profit)                                                        ,"                  The Badagara Sahakarana Asupathri LTD, D2411, Chulliyil Palam , Vatakara, Kozhikode DT-673101, Kerala state,         KOZHIKODE,         KERALA                           ",Sahakaranavtkclaims@gmail.com,8129684036,"                                                                            S14,M1,M2,S8,S7,S12,M3,S16,M5,S5,S4,S3,S2,S1,M7                                                              ",                                                             NA    
2,323 ,Iqraa Community Hospital Vazhakkad,                  Private (Not for Profit)                                                        ,"                  Iqraa Community Hospital, Vazhakkad, Malappuram, Pin 673640,         MALAPPURAM,         KERALA                           ",ichvkd@iqraahospital.in,9747222993,"                                                                            S5,S4,S2,S1,M2,M1,M7                                                              ",                                                             M3    
4,325 ,Divisional Railway Hospital Pettah,                                      Public                                    ,"                  RAILWAY HOSPITAL,         PALAKKAD,         KERALA                           ",ks.udayan@gov.in,9746763501,"                                              S3,S4,S16,M1,M7,S1,S2,M2                                                                                             ",                               -NA-                                                 
5,326 ,BM HOSPITAL NILAMBUR,                            Private (For Profit)                                              ,"                  VK ROAD,NILAMBUR. PO,MALAPPURAM Dt. 679329,         MALAPPURAM,         KERALA                           ",info@bmhospital.in,9495244618,"                                                                            M1,M2,M7,S5,S4,S1                                                              ",                                                             -NA-    
6,327 ,Heart Malabar Clinical Solutions,                            Private (For Profit)                                              ,"                  HMS Hospital,N.H. Palathara,Cherusola P.O, Kottakkal,         MALAPPURAM,         KERALA                           ",hmsgrd@heartsmalabar.com,9961609609,"                                                                            S1,S2,S4,S5,S6,S16,M1,M7,M2,M3,S12                                                              ",                                                             -NA-    
7,328 ,wayanad dialysis center,                            Private (For Profit)                                              ,"                  wayanad dialysis center,kolagappara.po,sulthan bathery,         WAYANAD,         KERALA                           ",wayanaddc@gmail.com,9605701994,"                                                                            M1,S7                                                              ",                                                             -NA-    
8,329 ,LEO HOSPITAL ,                            Private (For Profit)                                              ,"                  KALPETTA POST  WAYANAD  KERALA,         WAYANAD,         KERALA                           ",leohospitalkalpetta@rediffmail.com,9446005552,"                                                                            M1,M2,S8,S12,M7,S16,S5,S4,S2,S1                                                              ",                                                             M3    
9,330 ,Iqraa Hospital Sulthan Barhery,                  Private (Not for Profit)                                                        ,"                  Iqraa Hospital, Kottakkunnu, Sulthan Bathery (PO),         WAYANAD,         KERALA                           ",wayanad@iqraahospital.in,9645000075,"                                                                            M2,M1,M7,S5,S4,S1                                                              ",                                                             M3    
0,331 ,MES Medial College,                  Private (Not for Profit)                                                        ,"                  PALACHODE POST,         MALAPPURAM,         KERALA                           ",ao@mesams.com,9447439610,"                                                                            S14,S5,S4,S3,S1,S2,M1,M2,S8,M5,S7,S12,M7                                                              ",                                                             NA    
1,332 ,REGIONAL CANCER CENTRE,                                      Public                                    ,"                  REGIONAL CANCER CENTRE,         THIRUVANANTHAPURAM,         KERALA                           ",nmasha.70@gmail.com,9400766250,"                                              M6,M5,S15,S7,S14,S5,S4,S2,M4,S16,S10,S11,M2,M1,M7,S1                                                                                             ",                               -NA-                                                 
2,333 ,COCHIN CANCER RESEARCH CENTRE,                                      Public                                    ,"                  COCHIN CANCER RESEARCH CENTRE,         ERNAKULAM,         KERALA                           ",ccrcmsw@gmail.com,9747763966,"                                              M6,M5,S15                                                                                             ","                               S4,M3,S12,M1,S7,M2,S8,S2,S3,S5,S13,S14,S9,S10,S11,S16,M4,M7,M8,S1                                                 "
3,334 ,I Vision Eye Hospital A Unit of JASM Eye Hospitals Pvt.Ltd.,                            Private (For Profit)                                              ,"                  KCR TOWER,PARAVATTANI,OLLUKKARA P.O ,         THRISSUR,         KERALA                           ",narayanankuttyc2@gmail.com,8075561674,                                                                            S3                                                              ,"                                                             S4,M3,S12,M1,S7,M2,S8,S2,S3,S5,S13,S14,S9,S10,S11,S16,M4,M7,M8,S1    "
4,335 ,MALABAR CANCER CENTRE THALASSERY,                                      Public                                    ,"                  MALABAR CANCER CENTRE ,         KANNUR,         KERALA                           ",publicrelationsmcctly@gmail.com,9496048821,"                                              M1,M2,S8,S12,S6,S10,S11,S3,S4,S7,M7,M4,S16,M6,M5,S13,S5,S2,S1,S15,S9                                                                                             ",                               -NA-                                                 
7,338 ,swami vivekananda medical mission kerala,                  Private (Not for Profit)                                                        ,"                  Vivekananda Nagar, Muttil, 673122,         WAYANAD,         KERALA                           ",svmmmuttil@gmail.com,9446440528,                                                                            S16                                                              ,                                                             -NA-    
8,339 ,AHALIA FOUNDATION EYE HOSPITAL VADAKARA,                  Private (Not for Profit)                                                        ,"                  ATLES BUILDING, NEAR JYOTHI PETROL PUMP,KARIMPANAPPALAM,VADAKARA,         KOZHIKODE,         KERALA                           ",vadakara@afeh.org,8943777080,                                                                            S3                                                              ,                                                             -NA-    
9,340 ,Iqraa Community Hospital Thottilpalam,                  Private (Not for Profit)                                                        ,"                  Iqraa Community Hospital, Thottilpalam, Near Thottilpalam town, Kavilumpara (PO), Via Kavilumpara, Pin 673513,         KOZHIKODE,         KERALA                           ",iqraacommunityhospital@gmail.com,9847663258,"                                                                            M2,M1,M7,S5,S4,S1                                                              ",                                                             -NA-    
0,341 ,INDIA HOSPITAL,                            Private (For Profit)                                              ,"                  25/1851, Melethampanoor, ,         THIRUVANANTHAPURAM,         KERALA                           ",madhunair_us@yahoo.com,9387804668,"                                                                            S1,M1,M7,S12,S7                                                              ",                                                             NA    
1,342 ,Nammude Arogyam Community Hospital,                  Private (Not for Profit)                                                        ,"                  C.K.Valavu, Mathilakam, Thrissur,         THRISSUR,         KERALA                           ",nacommunityhospital@gmail.com,8547042585,"                                                                            M2,M1,S7,M7,S4                                                              ",                                                             -NA-    
2,343 ,MANDIRAM HOSPITAL,                  Private (Not for Profit)                                                        ,"                  MANGANAM, KOTTAYAM, KERALA,         KOTTAYAM,         KERALA                           ",mandiramhospital@yahoo.com,9447116628,"                                                                            M1,S7,M2,M7,S1,S5,S4,S3,S2                                                              ",                                                             -NA-    
3,344 ,PRO CARE HOSPITAL,                            Private (For Profit)                                              ,"                  PROCARE HOSPITAL,         THIRUVANANTHAPURAM,         KERALA                           ",ADMIN@PROCAREHEALTH.IN,7994044387,"                                                                            M2,S1,M1,M7,S5,S4,S2                                                              ",                                                             -NA-    
4,345 ,VENADHOSPITAL19&,                            Private (For Profit)                                              ,"                  Venad Hospital, Kulavikkonam, Nedumangad,         THIRUVANANTHAPURAM,         KERALA                           ",venadhospital@gmail.com,9447439715,"                                                                            M3,M2,S5,S4,S2,S1,M1,M7,S6                                                              ",                                                             -NA-    
5,346 ,Chaithanya Eye Hospital and Research Institute,                            Private (For Profit)                                              ,"                  Ravipuram, Near sreekrishna temple,         ERNAKULAM,         KERALA                           ",thomasjaison91@yahoo.co.in,7012830125,                                                                            S3                                                              ,                                                             -NA-    
6,347 ,The Lifeline Super Speciality Hospital,                            Private (For Profit)                                              ,"                  The Lifeline Super Speciality Hosptal, Adoor,         PATHANAMTHITTA,         KERALA                           ",ceo@lifelinehospitalkerala.com,9188619300,"                                                                            M1,M3,M2,M7,S14,S4,S1                                                              ",                                                             -NA-    
7,348 ,St.Gregorios Medical Mission Hospital ,                  Private (Not for Profit)                                                        ,"                  PARUMALA P.O, PATHANAMTHITTA, KERALA, INDIA ,         PATHANAMTHITTA,         KERALA                           ",jibinsunny11@gmail.com,7902521747,"                                                                            M1,M2,S8,S7,M3,M7,M6,M5,S15,S9,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
8,349 ,MAIYA EYE CARE CENTRE,                            Private (For Profit)                                              ,"                  MAIYA EYE CARE CENTRE,         KASARAGOD,         KERALA                           ",maiyaeyecarecentre@gmail.com,9072975587,                                                                            S3                                                              ,                                                             -NA-    
9,350 ,GOVT TRIBAL HOSPITAL NALLOORNAD,                                      Public                                    ,"                  KUNNAMANGALAM P O,         WAYANAD,         KERALA                           ",chc.nalloornadu@gmail.com,8547578450,"                                              M2,M1,M7,S16,M6,M5                                                                                             ",                               -NA-                                                 
0,351 ,Daya General Hospital Ltd,                            Private (For Profit)                                              ,"                  Daya General Hospital Ltd, Viyyur, Thrissur-680022,         THRISSUR,         KERALA                           ",daya.insurance2014@gmail.com,9895376481,"                                                                            M8,S8,S9,S7,S14,S13,S5,S4,S3,S2,M1,M2,S12,M3,M7,S16,S10,S11,M5,S15,S1                                                              ",                                                             NA    
1,352 ,National Hospital,                            Private (For Profit)                                              ,"                  INDIRA GANDHI ROAD,         KOZHIKODE,         KERALA                           ",contactnationalhospital@gmail.com,9446005089,"                                                                            M1,M2,S8,S7,S12,M3,M7,S16,S6,S10,S11,S9,S2,S1,S13,S5,S4,S3                                                              ",                                                             -NA-    
2,353 ,RAJAGIRI HOSPITAL EDAVANNA,                            Private (For Profit)                                              ,"                  EDVANNA,MALAPPURAM Dt. 676541,         MALAPPURAM,         KERALA                           ",edavannarajagiri@gmail.com,9446991862,"                                                                            M3,S5,M2,M1,M7,S4                                                              ",                                                             S1    
3,354 ,ERNAD HOSPITAL,                            Private (For Profit)                                              ,"                  ERNAD HOSPITAL INDUSTRIAL ESTATE ROAD MANJERI ,         MALAPPURAM,         KERALA                           ",ernadncbhospi@gmail.com,9744110045,"                                                                            M3,M1,M7,M2,S4,S5                                                              ","                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
4,355 ,NIZAR CARDIAC CENTRE,                            Private (For Profit)                                              ,"                  NIZAR CARDIAC CENTRE, PATTAMBI ROAD, VALANCHERY,         MALAPPURAM,         KERALA                           ",nizarcardiaccentre@gmail.com,7034055724,"                                                                            M1,M7,S12                                                              ","                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
5,356 ,NETHRAJYOTHI ADVANCED EYE CARE.,                            Private (For Profit)                                              ,"                  COMPASS POINT, CHIRAVAKKU JUNCTION, TALIPARAMBA,         KANNUR,         KERALA                           ",diwakaranpv@gmail.com,9207115558,                                                                            S3                                                              ,"                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
6,357 ,AL SALAMA EYE CLINIC,                  Private (Not for Profit)                                                        ,"                  MAKKANI,SOUTH BAZAR,NEAR ANAKKULAM,KANNUR-670002,         KANNUR,         KERALA                           ",kannur@alsalama.org,7593866660,                                                                            S3                                                              ,"                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
7,358 ,JYOTHIS EYE CARE,                  Private (Not for Profit)                                                        ,"                  Pallikkunnu,         KANNUR,         KERALA                           ",jyothiseyecareknr@gmail.com,9446212424,                                                                            S3                                                              ,"                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
8,359 ,ASSUMPTION HOSPITAL,                  Private (Not for Profit)                                                        ,"                  ASSUMPTION HOSPITAL, Kanjirapuzha,         PALAKKAD,         KERALA                           ",assumptionhosp@gmail.com,9847446363,"                                                                            M1,M7,S3                                                              ","                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
9,360 ,Chaithanya ENT Hospital,                            Private (For Profit)                                              ,"                  Chaithany ENT Hospital, Kadavanthra,         ERNAKULAM,         KERALA                           ",sayeeshpillai@gmail.com,9947938172,                                                                            S2                                                              ,"                                                             M1,M7,M2,M3,S4,S5,S7,S1    "
0,361 ,Hayath Hospital,                            Private (For Profit)                                              ,"                  Hayath Hospital,Main Road,Chavakkad,         THRISSUR,         KERALA                           ",hayathhospital.in@gmail.com,9744625143,"                                                                            M2,M1,M7,S5,S12,S4,S2,S1                                                              ",                                                             NA    
1,362 ,EYE FOUNDATION LTD KOCHI,                            Private (For Profit)                                              ,"                  38/1722-A,         ERNAKULAM,         KERALA                           ",kochi@theeyefoundation.com,9495738116,                                                                            S3                                                              ,                                                             NA    
2,363 ,suchitra medical centre,                            Private (For Profit)                                              ,"                  suchitramedical centre merket road kilimanoor,         THIRUVANANTHAPURAM,         KERALA                           ",suchitramedicalcentre@gmail.com,9447272633,"                                                                            M2,S5,S1,S4                                                              ",                                                             NA    
3,364 ,Chaliyar Hospital,                  Private (Not for Profit)                                                        ,"                  Chaliyar Hospital,         MALAPPURAM,         KERALA                           ",healthana@hotmail.com,9895440249,"                                                                            M1,M7,M2,S5,S4,S2,S1                                                              ",                                                             NA    
4,365 ,ANAAMAYA MEDICAL INSTITUTE,                            Private (For Profit)                                              ,"                  ANAAMAYA MEDICAL INSTITUTE ANNUR ROAD PAYYANNUR KANNUR DISTRICT,         KANNUR,         KERALA                           ",insuranceanaamaya@gmail.com,8289874751,"                                                                            M2,M1,M7,S5,S4,S2,S1                                                              ",                                                             NA    
5,366 ,CHAVAKKAD DRISHYAM EYE CARE HOSPITAL LLP,                            Private (For Profit)                                              ,"                  CHAVAKKAD DRISHYAM EYE CARE HOSPITAL, CHETTUVA ROAD, NEAR MALABAR GOLD, CHVAKKAD,         THRISSUR,         KERALA                           ",prasanth.82@gmail.com,7025131199,                                                                            S3                                                              ,                                                             -NA-    
6,367 ,NU VISION EYE CARE,                            Private (For Profit)                                              ,"                  14/7A PANDIKKAD ROAD NEAR KORAMBAYIL HOSPITAL MANJERI,         MALAPPURAM,         KERALA                           ",nuvisionspecialityeyecare@gmail.com,6238900721,                                                                            S3                                                              ,                                                             -NA-    
7,368 ,HUDA TRUST HOSPITAL,                  Private (Not for Profit)                                                        ,"                  KUMARAPURAM P O HARIPAD,         ALAPPUZHA,         KERALA                           ",hudatrusthospital@yahoo.co.in,9747931425,"                                                                            M1,M7                                                              ","                                                             S4,S5,S1,M2,M1,S7    "
8,369 ,TH Bedadka,                                      Public                                    ,"                  TH Bedadka,Bedadka,Kasragod,         KASARAGOD,         KERALA                           ",chcbedadka@gmail.com,8086906614,"                                              M1,M7                                                                                             ","                               S4,S5,S1,M2,M1,S7                                                 "
9,370 ,AHALIA FOUNDATION EYE HOSPITAL,                  Private (Not for Profit)                                                        ,"                  THRICHUR TRADE CENTER, KURUPPAM ROAD,THRISSUR,         THRISSUR,         KERALA                           ",afechtcr@afeh.org,9496396713,                                                                            S3                                                              ,"                                                             S4,S5,S1,M2,M1,S7    "
0,371 ,AMARDEEP DIYA EYE CARE PVT LTD,                            Private (For Profit)                                              ,"                  12/694  second mile stone,         KOLLAM,         KERALA                           ",amardeepdiyaeyecare.insurance@gmail.com,9446732077,                                                                            S3                                                              ,                                                             NA    
1,372 ,MEDITRINA HOSPITALS PVT.LTD,                  Private (Not for Profit)                                                        ,"                  Ayathil,kollam,         KOLLAM,         KERALA                           ",insurance@meditrinahospital.com,8129601011,"                                                                            M1,M2,S8,S7,S12,M3,M7,S16,S6,S10,S11,S9,S14,S13,S5,S4,S2,S1                                                              ",                                                             NA    
2,373 ,URBAN DIALYSIS CENTRE URUVACHAL MATTANOOR,                                      Public                                    ,"                  Uruvachal, Mattannoor,         KANNUR,         KERALA                           ",udcnuhm27@gmail.com,9995464986,"                                              M1,S7                                                                                             ",                               -NA-                                                 
3,374 ,PALAKKAD INSTITUTE OF MEDICAL SCIENCES,                  Private (Not for Profit)                                                        ,"                  CHANDRAPURAM NH 544 OPP. DEAR PARK WALAYAR ,         PALAKKAD,         KERALA                           ",anilpimspkd@gmail.com,9496007110,"                                                                            M2,M1,M7,S5,S4,S2,S1                                                              ",                                                             -NA-    
4,375 ,ANITHARA HOSPITAL,                            Private (For Profit)                                              ,"                  Near Bus stand, Poovar PO,         THIRUVANANTHAPURAM,         KERALA                           ",anitharahospitalpoovar@gmail.com,9447752837,"                                                                            M1,M7,S4,S1,M2                                                              ",                                                             -NA-    
5,376 ,AVM HOSPITAL ,                            Private (For Profit)                                              ,"                  NILAMBUR ,         MALAPPURAM,         KERALA                           ",avmhospital.nbr@gmail.com,9645099799,"                                                                            S5,S4,M2,M1,M7,S2                                                              ",                                                             S1    
6,377 ,THE KADUTHURUTHY CO OPERATIVE HOSPITAL,                  Private (Not for Profit)                                                        ,"                  THE COOPERATIVE  HOSPITAL KADUTHURUTHY,         KOTTAYAM,         KERALA                           ",kchkaduthuruthy@yahoo.co.in,9447659560,"                                                                            M1,M7,M2                                                              ",                                                             S1    
7,378 ,ELETTIL HOSPITAL  & NURSING HOME,                            Private (For Profit)                                              ,"                  1/43/A Elettil Vattoli, Kizhakoth, Koduvally,         KOZHIKODE,         KERALA                           ",elettilhospital@gmail.com,9895980280,"                                                                            S1,S4,M1,M7,M2,M3                                                              ",                                                             S1    
8,379 ,ANCHAL HOSPITAL FOR MOTHER AND CHILD,                            Private (For Profit)                                              ,"                  ANCHAL HOSPITAL FOR MOTHER AND CHILD,MARKET JUNCTION, ANCHAL P.O,PIN-691306,         KOLLAM,         KERALA                           ",nasarudindr@gmail.com,9447023955,"                                                                            S1,S4,S16,M2,M1,M7                                                              ",                                                             S1    
9,380 ,Santhi Free And Subsidised Dialysis Unit,                  Private (Not for Profit)                                                        ,"                  Pinangod Road, Near Ware house,Kottarapadi, Kalpetta,         WAYANAD,         KERALA                           ",santhisduwayanad@gmail.com,9605353288,"                                                                            M1,S7                                                              ",                                                             S1    
0,381 ,SUT ROYAL HOSPITAL,                            Private (For Profit)                                              ,"                  SUT ROYAL HOSPITAL,ULLOOR,MEDICAL COLLEGE PO,         THIRUVANANTHAPURAM,         KERALA                           ",coo@rhtvm.com,9447144437,"                                                                            M3,S12,M2,M1,M7,M5,S15,S13,S5,S4,S2,S8,S7,M6,S9,S14,S1                                                              ",                                                             -NA-    
1,382 ,Maanu memorial hospital,                            Private (For Profit)                                              ,"                  Maanu memorial hospital, melakkam manjeri,         MALAPPURAM,         KERALA                           ",rsbymmh@gmail.com,9048003310,"                                                                            M1,M7,S16,S6,S5,S2,S1                                                              ",                                                             S14    
2,383 ,Sree Chitra Tirunal Institute For Medical Sciences & Technology,                                      Public                                    ,"                  Medical College PO,         THIRUVANANTHAPURAM,         KERALA                           ",amo@sctimst.ac.in,9446473469,"                                              M1,M2,S8,S12,M7,S9,S13                                                                                             ","                               S1,S2,S3                                                 "
3,384 ,MUTHOOT HEALTH CARE PVT. LTD,                  Private (Not for Profit)                                                        ,"                  COLLEGE ROAD, KOZHENCHERRY P O, KERALA-689641,         PATHANAMTHITTA,         KERALA                           ",rajesh@muthoothealthcare.com,9847412607,"                                                                            M1,M7,S16,S6,M6,M5,S15,S8,S9,S5,S4,M2,S7,S12,M3,S3,S2,S1                                                              ","                                                             S1,S2,S3    "
4,385 ,KARUNYA EYE HOSPITAL PANDALAM,                            Private (For Profit)                                              ,"                  RAJA TOWER PANDALAM,         PATHANAMTHITTA,         KERALA                           ",karunyaeyehospital@gmail.com,9745688854,                                                                            S3                                                              ,"                                                             S1,S2,S3    "
5,386 ,Community Health Centre Oduvallithattu,                                      Public                                    ,"                  Chapparapadavu (p.o),         KANNUR,         KERALA                           ",oduvallythattuphc@gmail.com,9388184476,"                                              M1,M7                                                                                             ","                               S1,S2,S3                                                 "
6,387 ,SR MEDICAL COLLEGE & RESEARCH CENTRE,                            Private (For Profit)                                              ,"                  Akathumuri, Vennicode PO, varkala,         THIRUVANANTHAPURAM,         KERALA                           ",rsbysrmcrc@gmail.com,9496020099,"                                                                            S1,S2,S3,S4,S5,S10,S11,S6,M1,M3,M2,M7,S16                                                              ","                                                             S1,S2,S3    "
7,388 ,IMBICHIBAVA MEMORIAL CO OPERATIVE HOSPITAL AND RESEARCH CENTRE SOCIETY LTD NO M 841,                            Private (For Profit)                                              ,"                  ALATHIYUR POST, TIRUR,         MALAPPURAM,         KERALA                           ",admin@imbichibavahospital.com,9446631940,"                                                                            M3,M2,M1,M7,S16,S5,S4                                                              ","                                                             M1,S1    "
8,389 ,UNIT HOSPITAL 27TH BN ITBP,                                      Public                                    ,"                  ITBP 27TH BN,         ALAPPUZHA,         KERALA                           ",itcell27thbn@itbp.gov.in,9958900750,"                                              M1,M7                                                                                             ","                               M1,S1                                                 "
9,390 ,COMPOSITE HOSPITAL CRPF PALLIPURAM,                                      Public                                    ,"                  GC CRPF CAMP, PALLIPURAM, TRIVANDRUM PIN-695316,         THIRUVANANTHAPURAM,         KERALA                           ",chppm@crpf.gov.in,9249328966,"                                              M1,M7                                                                                             ","                               M1,S1                                                 "
0,391 ,TALUK HOSPITAL KATTAPPANA,                                      Public                                    ,"                  Taluk Hospital Kattappana, Thovarayar P. O 20 acre,         IDUKKI,         KERALA                           ",phckattappana@gmail.com,9496366035,"                                              M8,M1,S7,M3,M2,M7,S16,S5,S4,S2,S1                                                                                             ",                               NA                                                 
1,392 ,SALI DIALYSIS CENTRE,                            Private (For Profit)                                              ,"                  MADIYAN JUNCTION MANIKOTH HOSDURG,         KASARAGOD,         KERALA                           ",manudas19@gmail.com,8606294493,"                                                                            M1,S7                                                              ",                                                             NA    
2,393 ,MUNDAKKAYAM MEDICAL TRUST HOSPITAL,                  Private (Not for Profit)                                                        ,"                  MUNDAKYAM EAST P.O. IDUKKI DISTRICT KERALA 686513,         IDUKKI,         KERALA                           ",mmthospitalsecretary@gmail.com,9446463400,"                                                                            M2,M1,M7,S5,S4,S1                                                              ",                                                             NA    
3,394 ,MIMS THANAL DIALYSIS CENTRE,                  Private (Not for Profit)                                                        ,"                  THANAL,BEACH ROAD ,VATAKARA,         KOZHIKODE,         KERALA                           ",noufalmpv@gmail.com,9846806969,"                                                                            M1,S7                                                              ",                                                             NA    
4,395 ,RTC 3 HOSPITAL CRPF PERINGOME,                                      Public                                    ,"                  RTC 3 HOSPITAL CRPF PERINGOME,         KANNUR,         KERALA                           ",rakhirajias@gmail.com,9496325207,"                                              M1,M7                                                                                             ",                               NA                                                 
5,396 ,METROMED INTERNATIONAL CARDIAC CENTRE  PVT. LTD,                            Private (For Profit)                                              ,"                  MANJODI, THIRUVANGADU, THALASSERY, KANNUR,         KANNUR,         KERALA                           ",igmcctly@gmail.com,8943501501,                                                                            S12                                                              ,                                                             NA    
6,397 ,Tree G Eye Care Hospital,                            Private (For Profit)                                              ,"                  OPP Govt Medical College,Court Road,Manjeri,         MALAPPURAM,         KERALA                           ",treegeyecare@gmail.com,9995884182,                                                                            S3                                                              ,                                                             NA    
